type,sprite,effect,cost,rarity,value,cardName,description
2,eagle,1,3,4,Theropithecus gelada,Progressive logistical array,1
2,eagle,2,3,0,Theropithecus gelada,Virtual human-resource extranet,1
2,bear,3,1,-5,unavailable,Intuitive eco-centric functionalities,2
2,bear,1,3,5,Cacatua tenuirostris,Triple-buffered scalable service-desk,1
1,eagle,1,1,5,Castor canadensis,Cross-platform asymmetric functionalities,2
2,wolf,1,3,-3,Cordylus giganteus,Robust upward-trending open architecture,2
2,wolf,3,1,0,Psophia viridis,Ameliorated object-oriented complexity,1
1,fox,2,2,-3,Uraeginthus granatina,Stand-alone 4th generation initiative,3
1,fox,2,2,-3,Colobus guerza,Streamlined asymmetric intranet,1
1,wolf,2,2,5,Varanus salvator,Streamlined eco-centric migration,1
1,bear,1,1,-1,Uraeginthus angolensis,Focused discrete info-mediaries,1
2,wolf,1,2,-5,Theropithecus gelada,Horizontal explicit knowledge base,3
2,wolf,1,2,1,Alopex lagopus,Seamless zero tolerance concept,2
2,eagle,3,3,0,Macropus parryi,Organized discrete emulation,3
1,eagle,3,2,-1,Semnopithecus entellus,Upgradable asynchronous challenge,2
2,wolf,1,2,-4,Bettongia penicillata,Profound neutral conglomeration,1
2,wolf,2,2,-3,Butorides striatus,Phased eco-centric moratorium,1
1,fox,2,2,-1,Antilocapra americana,Extended multimedia architecture,1
2,fox,1,1,-4,Trachyphonus vaillantii,Enterprise-wide reciprocal strategy,2
1,eagle,3,3,5,Bradypus tridactylus,Extended encompassing productivity,2
1,bear,1,3,-4,Tamiasciurus hudsonicus,Profound upward-trending protocol,1
2,wolf,2,2,4,Petaurus norfolcensis,Networked systematic local area network,1
1,eagle,1,3,3,Smithopsis crassicaudata,Compatible client-driven help-desk,3
1,eagle,1,1,-5,Neotis denhami,Organic local neural-net,2
1,wolf,2,3,3,Phalaropus fulicarius,Face to face clear-thinking matrix,3
2,wolf,2,3,5,Odocoileus hemionus,Object-based real-time secured line,3
1,fox,2,2,2,Egretta thula,Quality-focused intangible system engine,2
1,fox,1,2,-4,Coluber constrictor foxii,Configurable needs-based orchestration,1
2,wolf,3,1,4,Larus sp.,Pre-emptive tangible capacity,3
1,fox,1,3,-5,Crotalus cerastes,Customer-focused transitional workforce,2
1,fox,1,1,-5,Phalaropus fulicarius,Object-based homogeneous interface,3
1,fox,3,3,-4,Crotalus cerastes,Balanced hybrid benchmark,2
2,wolf,3,3,-1,Podargus strigoides,Implemented multi-state core,1
2,fox,3,3,-5,Larus dominicanus,Front-line needs-based initiative,1
2,wolf,2,3,2,Nannopterum harrisi,De-engineered secondary algorithm,2
1,bear,1,3,5,Theropithecus gelada,Managed dedicated installation,3
2,wolf,1,1,-5,Ovis dalli stonei,Persevering high-level parallelism,2
1,bear,2,2,-4,Trichosurus vulpecula,Stand-alone systematic secured line,2
2,eagle,1,2,3,Porphyrio porphyrio,Multi-layered secondary implementation,3
1,fox,2,2,-4,Phoca vitulina,Enhanced discrete success,2
2,wolf,2,2,-5,Bubalornis niger,Versatile local migration,3
2,eagle,3,1,-3,Phaethon aethereus,Virtual disintermediate Graphic Interface,2
1,fox,1,3,0,Eumetopias jubatus,Cross-platform even-keeled contingency,1
2,wolf,3,1,2,Lophoaetus occipitalis,Configurable uniform knowledge base,1
1,bear,3,3,-1,Potorous tridactylus,Sharable maximized alliance,2
2,eagle,3,3,5,Mazama americana,Up-sized mobile core,2
2,bear,3,3,1,Sterna paradisaea,Object-based local neural-net,3
1,wolf,1,3,-4,Nectarinia chalybea,Vision-oriented bottom-line capacity,2
2,fox,2,3,5,Limnocorax flavirostra,Phased client-driven software,1
1,eagle,2,3,-5,Paroaria gularis,Persevering client-server portal,1
1,fox,2,3,2,Canis mesomelas,Right-sized interactive toolset,1
1,eagle,1,2,-3,Gymnorhina tibicen,Adaptive eco-centric hierarchy,1
2,eagle,1,3,0,Tragelaphus strepsiceros,Pre-emptive real-time model,2
1,bear,3,2,-2,Crotalus cerastes,Re-contextualized executive service-desk,2
2,bear,1,3,4,Cracticus nigroagularis,Visionary multi-state project,2
1,fox,2,1,-5,Ratufa indica,Reduced analyzing attitude,1
2,wolf,1,2,-5,Paraxerus cepapi,Quality-focused cohesive alliance,1
2,bear,1,2,-2,Notechis semmiannulatus,Customizable dedicated middleware,2
1,wolf,2,2,2,Geococcyx californianus,Integrated incremental core,1
2,fox,3,3,-3,Redunca redunca,Multi-tiered empowering throughput,1
2,fox,3,1,-4,Passer domesticus,Switchable executive attitude,1
1,eagle,3,1,-1,Stenella coeruleoalba,Object-based multi-tasking moratorium,3
1,fox,1,1,0,Ovis canadensis,Public-key 4th generation portal,2
